축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제7회 월대천 축제,월대천 일원,2019-07-27,2019-07-28,외도동에서는 월대천을 배경으로 다양한 체험 및 공연프로그램을 통해 자연 속에서 함께 어우러져 문화를 향유할 수 잇는 기회를 제공하고자 제7회 월대천 축제를 개최합니다.,외도동주민자치위원회,외도동주민자치위원회,,064-728-4892,,,제주특별자치도 제주시 외도이동 235-7,,33.49229666,126.434694,2019-08-30,6510000,제주특별자치도 제주시
제19회 도두오래물축제,도두 오래물광장 및 도두항 일원,2019-08-09,2019-09-11,"도두 오래물을 주제로 무사안녕 기원, 해양 레저 체험 등","도두1동마을회,도두동주민센터,주민자치위원회,각 자생단체",도두오래물축제위원회,,064-712-4567,,,제주특별자치도 제주시 도두항길 22-2,,33.50637959,126.4670599,2019-08-30,6510000,제주특별자치도 제주시
2019 jeju 이호테우축제,이호테우해수욕장,2019-08-02,2019-08-04,전통떼배인''''''''테우''''''''와 ''''''''그물''''''''을 이용하여 멸치를 잡는 전통어로문화를 축제로 승화,이호테우축제위원회,이호테우축제위원회,,064-742-2501,,,제주특별자치도 제주시 이호일동 1665-13,,33.49730322,126.4528866,2019-08-30,6510000,제주특별자치도 제주시
추자도 참굴비 대축제,대서리 광장 일원,2019-09-27,2019-09-29,"고기잡이 체험, 굴비 시식 등",추자면 축제추진위원회,추자면 축제추진위원회,추자면사무소,064-728-4265,,,제주특별자치도 제주시 추자면 추자로 37,제주특별자치도 제주시 추자면 대서리 147-5,33.96267481,126.2956272,2019-08-30,6510000,제주특별자치도 제주시
제18회삼양검은모래축제,삼양해수욕장일원,2019-07-26,2019-07-27,"삼양해수욕장 검은모래를 주제로 모래찜질, 용천수 체험,  노래자랑 등 축제",삼양동연합청년회,삼양검은모래축제위원회,"삼양동주민센터, 한국중부발전㈜제주화력발전소, 삼양동자생단체 등",064-728-4713,,,제주특별자치도 제주시 삼양이동 1960-4,,33.525989,126.586391,2019-08-30,6510000,제주특별자치도 제주시
제16회 방선문축제,방선문 일대,2019-05-04,2019-05-05,국가지정명승 제92호 방선문의 아름다운 절경과 영구춘화를 만끽하며 신선처럼 풍류를 즐길 수 있는 문화예술축제,방선문축제위원회,오라동자연문화유산보전회,"오라동주민센터, 오라동주민자치위원회 및 자생단체, 오라동 각 마을회",064-728-4802,,,제주특별자치도 제주시 오라이동 3819-11,,33.452853,126.517844,2019-08-30,6510000,제주특별자치도 제주시
누웨마루 페스티벌,신제주 누웨마루거리,2019-09-14,2019-10-05,누웨마루거리에서 펼쳐지는 선선한 가을밤 뮤직 페스티벌,제주관광공사,제주특별자치도,,064-740-6000,,,제주특별자치도 제주시 신광로 47,,33.4877384,126.4903398,2019-08-30,6510000,제주특별자치도 제주시
산지천 축제,탐라문화광장(산지천일원-용진교~북성교 구간),2019-09-20,2019-09-22,지붕 없는 박물관 마을의 볼거리 먹거리 다양한 축제 한마당,산지천축제위원회,건입동주민센터,건입동지역자생단체,064-728-4655,,,제주특별자치도 제주시 칠성로길 48,,33.5141252,126.5278575,2019-08-30,6510000,제주특별자치도 제주시
아트제주2019,메종글래드 제주,2019-11-28,2019-12-01,제주 최대 규모의 국제 아트페어,사단법인 섬아트제주,사단법인 섬아트제주,제주특별자치도,064-739-3373,https://www.artjejukorea.com/,,제주특별자치도 제주시 노연로 80,,33.4847577,126.4887056,2019-08-30,6510000,제주특별자치도 제주시
서울약령시 한방문화축제,서울약령시 약령문 거리,2019-10-11,2019-10-12,"보제원제향, 한방사랑시민걷기대회 및 각종 한방체험",(사)서울약령시협회,(사)서울약령시협회,서울특별시 동대문구청,02-969-4793,www.seoulya.com,"서울약령시한의약박물관, 선농단, 경동시장, 청량리청과물시장 등",서울특별시 동대문구 약령중앙로8길 10,서울특별시 동대문구 제기동 965-1,37.58152253,127.0377329,2019-10-24,3050000,서울특별시 동대문구
선농대제,선농단,2019-04-20,2019-04-20,"제례봉행, 설렁탕나눔행사",동대문문화재단,동대문문화재단,서울특별시 동대문구청,02-3295-5561,,"서울선농단, 설렁탕재현행사",서울특별시 동대문구 왕산로19길 52,,,,2019-10-24,3050000,서울특별시 동대문구
세계거리춤축제,장한로,2019-09-21,2019-09-22,"세계거리춤공연, 주민참여무대, 각종춤경연",(사)세계거리춤축제위원회,(사)세계거리춤축제위원회,서울특별시 동대문구청,02-3295-5560,,"장한평역, 장한로, 세계거리춤",서울특별시 동대문구 천호대로405,서울특별시 동대문구 장안동472-3,,,2019-10-24,3050000,서울특별시 동대문구
청룡문화제,용두근린공원,2019-10-26,2019-10-27,"제례봉행, 어가행렬",서울특별시 동대문문화원,청룡문화제보존위원회,서울특별시 동대문구청,02-2127-4158,,"용두공원,청룡",서울특별시 동대문구 청계천로 563,서울특별시 동대문구 용두동 34-12,,,2019-10-24,3050000,서울특별시 동대문구
성주생명문화축제 성주참외페스티벌,성주군 성주읍 성밖숲 일원,2019-05-16,2019-05-19,"생명선포식, 개막식(주제 공연, 축하 가수 공연), 참외가요제, MBC태교음악회, 경상북도드림페스티벌, 태봉안행차재현 등",성주군 축제추진위원회,성주군 축제추진위원회,경상북도 성주군,054-930-6763,http://sjlife.kr/,"성밖숲, 세종대왕자태실",경상북도 성주군 성주읍 성밖숲길 30,경상북도 성주군 성주읍 경산리 436-3,35.91576102,128.2800492,2019-06-20,5210000,경상북도 성주군
제32회 함안아라문화제,"함안공설운동장, 함주공원 일원",2019-04-26,2019-04-28,아라가야 역사문화 체험,"함안군아라제위원회, 각 기관단체",함안군,수시변동,055-585-9400,ara.or.kr,"함안박물관, 무진정, 입곡군립공원",경상남도 함안군 가야읍 함안대로 619,경상남도 함안군 가야읍 도항리 249-1,35.28326216,128.4001528,2019-02-20,5400000,경상남도 함안군
무술년 삼칠민속줄다리기,칠원읍사무소 사거리,2019-03-29,2019-03-30,민속줄다리기,삼칠민속줄다리기위원회,함안군,수시변동,055-587-2737,,,경상남도 함안군 칠원읍 원서로 4,경상남도 함안군 칠원읍 구성리 662-4,35.30883803,128.5185567,2019-02-20,5400000,경상남도 함안군
제28회 함안낙화놀이,무진정,2019-05-12,2019-05-12,전통문화 계승 발전,함안낙화놀이보존회,함안군,수시변동,055-580-2325,haman.go.kr,"함안박물관, 입곡군립공원",경상남도 함안군 함안면 괴산4길 25,경상남도 함안군 함안면 괴산리 547,35.25542023,128.4227474,2019-02-20,5400000,경상남도 함안군
들노래축제,증평민속체험박물관 일원,2019-06-15,2019-06-16,전통문화를 소재로 한 다채로운 문화예술공연과 전통농경문화를 바탕으로 한 두레농요 시연,증평들노래축제추진위원회,증평군,,043-835-4142,https://www.jp.go.kr/museum.do,,충청북도 증평군 증평읍 둔덕길 89,,36.7638867,127.5955697,2019-09-19,5570000,충청북도 증평군
인삼골축제,증평보강천체육공원일원,2019-10-03,2019-10-06,"증평의 특산품은 인삼과 홍삼포크를 소재로 가요제, 씨름대회 등 각종 행사가 어우러지는 지역축제",증평인삼골축제추진위원회,증평군,,043-835-4142,http://tour.jp.go.kr,,충청북도 증평군 증평읍 송산리 211-2,,36.78700527,127.5760466,2019-09-19,5570000,충청북도 증평군
제5회 광산구 세계음식문화축제,수완호수공원,2017-05-21,2017-05-21,"기념식, 세계음식체험, 문화다양성 체험부스, 무지개나눔장터, 문화공연 등",광산구건강가정·다문화가족지원센터,"광산구, 광주문화재단",,,,,광주광역시 광산구 장신로82번길 57,,35.1880553,126.8201971,2019-01-01,3630000,광주광역시 광산구
광산우리밀축제,송산유원지,2017-05-26,2017-05-28,국산밀 홍보,광산우리밀축제추진위원회,광주광역시 광산구청,,062-960-8493,http://www.gswoorimil.kr,,광주광역시 광산구 박호등임로 95,,35.1631672,126.7399623,2019-01-01,3630000,광주광역시 광산구
첨단1동 마을축제,쌍암공원,2017-10-14,2017-10-14,"중고장터, 마을운동회, 문화공연, 버스킹, 체험행사 등",첨단1동주민자치위원회,광주광역시 광산구 첨단1동,,,,,광주광역시 광산구 첨단중앙로182번길 39,,35.222211,126.8443276,2019-01-01,3630000,광주광역시 광산구
제2회 비아마을 큰잔치,비아동 공영주차장,2017-10-21,2017-10-21,"문화공연, 주민장기자랑, 체험 및 먹거리 부스운영 등",비아마을 축제 추진위원회,광주광역시 광산구 비아동,,,,,광주광역시 광산구 비아중앙로 23-6,,35.2210952,126.8244895,2019-01-01,3630000,광주광역시 광산구
제2회 하남동 도농공 한울타리 어울림축제,경암근린공원,2017-10-28,2017-10-28,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,,,,,광주광역시 광산구 하남대로54번안길 133,,35.178175,126.7999659,2019-01-01,3630000,광주광역시 광산구
신창동 어울림축제,신창동 공방의 거리,2017-10-28,2017-10-28,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",신창동 마을축제 추진위원회,광주광역시 광산구 신창동,,,,,광주광역시 광산구 왕버들로 291,,35.1956384,126.840969,2019-01-01,3630000,광주광역시 광산구
2019컬러풀대구페스티벌,국채보상로(서성네거리~종각네거리),2019-05-04,2019-05-05,"퍼레이드,거리예술제,예술장터 등",(재)대구문화재단,대구광역시,"문화체육관광부, DGB대구은행",053-430-1263,http://www.cdf.or.kr,,대구광역시 중구 공평로 88,대구광역시 중구 동인동1가 2-1,35.87155388,128.60122,2019-06-25,6270000,대구광역시
대구국제재즈축제,"수성못 상화동산, 수성아트피아 등",2019-09-19,2019-09-21,"재즈매니아, 실용음악콩쿠르, 프린지공연 등",대구국제재즈축제조직위원회,대구국제재즈축제조직위원회,"대구광역시, 문화체육관광부",053-1544-1850,http://www.dijf.or.kr,,대구광역시 중구 중앙대로 273,대구광역시 중구 남산동 2109-10,35.8579242,128.5906996,2019-06-25,6270000,대구광역시
대구국제오페라축제,"대구오페라하우스, 수성못, 어울아트센터 등",2019-09-13,2019-10-20,"메인오페라, 소극장오페라, 프레콘서트, 수상음악회 등",(재)대구오페라하우스,"대구광역시, 재단법인대구오페라하우스","문화체육관광부, 한국문화예술위원회",053-666-3074,http://www.daeguoperahouse.org,,대구광역시 북구 호암로 15,대구광역시 북구 칠성동 2가 727,35.8834639,128.5922335,2019-06-25,6270000,대구광역시
대구국제뮤지컬페스티벌,대구 주요 공연장 및 시내 전역,2019-06-21,2019-07-08,"공식초청작, 특별공연, 창작지원작, 대학생뮤지컬페스티벌 등",㈔대구국제뮤지컬페스티벌,대구광역시,"문화체육관광부, 한국문화예술위원회",053-622-1945,https://dimf.or.kr/,,대구광역시 북구 호암로 51,대구광역시 북구 침산동 105-2,35.88368816,128.5959763,2019-06-25,6270000,대구광역시
동아시아보자기페스티벌,대구삼성창조캠퍼스,2019-09-28,2019-09-29,"섬유작품 및 전시, 버스킹공연, 전시.체험 등",(재)대구문화재단,대구광역시,문화체육관광부,053-430-1263,http://www.daegufestival.com,,대구광역시 북구 호암로 51,대구광역시 북구 침산동 105-2,35.88368816,128.5959763,2019-06-25,6270000,대구광역시
형형색색달구벌관등놀이,"국채보상기념공원, 코오롱야외음악당",2019-04-27,2019-05-06,"풍등날리기, 연등행렬",형형색색 달구벌관등놀이 축제봉행위원회,(사)대구불교총연합회,"대구광역시, 문화체육관광부",053-623-6388,http://www.gwandeung.or.kr,,대구광역시 남구 중앙대로 51길 11,대구광역시 남구 대명동 1800-6,35.85619572,128.5897529,2019-06-25,6270000,대구광역시
대구약령시한방문화축제,약령시(약전골목) 일원,2019-05-02,2019-05-06,"고유제, 개막식, 한방 관련 전시?문화?경연?공연?체험 프로그램",(사)약령시보존위원회,"대구광역시, 대구광역시 중구","문화체육관광부, 한국관광공사",053-253-4729,http://www.herbfestival.org,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851768,128.5899105,2019-06-25,6270000,대구광역시
대구포크페스티벌,코오롱야외음악당,2019-07-26,2019-07-28,국내외 정상급 포크 공연,(사)대구포크페스티벌,대구광역시,"문화체육관광부, 대구MBC",053-626-2015,http://www.dgff.kr/,,대구광역시 동구 동대구로 461,대구광역시 동구 신천동 107-4,35.87142055,128.6248352,2019-06-25,6270000,대구광역시
대구치맥페스티벌,두류공원일원,2019-07-17,2019-07-21,치킨과 맥주 행사에 걸맞는 각종 무대행사와 전시행사,대구치맥페스티벌조직위원회,(사)한국치맥산업협회,"대구광역시, 농림축산식품부, 식품의약품안전처",053-248-9998,http://chimacfestival.com,,대구광역시 달서구 공원순환로 7,대구광역시 달서구 두류동 560,35.85074648,128.5616534,2019-06-25,6270000,대구광역시
대구국제호러페스티벌,대구스타디움 시민광장,2019-08-02,2019-08-05,"거리극페스티벌, 호러연극제, 부대행사(좀비런)",대구호러공연예술제조직위원회,(사)대구연극협회,"대구광역시, 대구MBC",053-628-7463,http://cafe.daum.net/dghr,,대구광역시 수성구 유니버시아드로 180,대구광역시 수성구 대흥동 504,35.82976978,128.690163,2019-06-25,6270000,대구광역시
국제보디페인팅축제,코오롱야외음악당,2019-08-24,2019-08-25,"바디페인팅 부문 경연, 바디페인팅 사진 전시, 각종 홍보관 등",DIBF 조직위원회,TBC,대구광역시,053-803-3881,http://dibf.co.kr/,,대구광역시 달서구 공원순환로 46,대구광역시 달서구 두류동 588,35.85086313,128.5576665,2019-06-25,6270000,대구광역시
대구국제패션문화페스티벌,대구삼성창조캠퍼스,2019-10-12,2019-10-14,"국제문화패션쇼, 섬유패션 파사드 전시, 미디어 퍼포먼스 공연",한국패션산업연구원,"문화체육관광부, 대구광역시",,053-626-5523,http://www.difacul.com,,대구광역시 북구 호암로 51,대구광역시 북구 침산동 105-2,35.88368816,128.5959763,2019-06-25,6270000,대구광역시
팔공산 산중전통장터 승시,팔공산 동화사 경내,2019-10-05,2019-10-08,"산중 생활용품 물물교환 풍속 재연, 불교예술 공연 및 경연, 전통문화 등 놀이 체험, 산중음식 체험, 세계 불교문화 체험 등",(사)대구음식문화포럼,(사)대구음식문화포럼,대구광역시,053-980-7956,http://www.seungsi.com,,대구광역시 동구 동화사 1길 1,대구광역시 동구 도학동 35,35.98450098,128.6987706,2019-06-25,6270000,대구광역시
대구 글로벌게임문화축제 e-Fun,동성로 야외무대 및 도심일원,2019-08-31,2019-09-01,"게임영상콘서트, 국내외 메이저 기업 & 중소기업 전시관, 한중게임문화축제, 아이디어 피칭,도심RPG","한국콘텐츠진흥원,(재)대구디지털산업진흥원","대구광역시, 문화체육관광부",,053-475-7745,http://www.e-fun.or.kr,,대구광역시 수성구 알파시티1로 170,대구광역시 수성구 대흥동 848,35.83541672,128.6817838,2019-06-25,6270000,대구광역시
둔내고랭지토마토축제,둔내면사무소~둔내파출소 간,2019-08-09,2019-08-11,"토마토풀장, 향토음식체험, 추억의 물총놀이 등",둔내고랭지토마토축제위원회,강원도 횡성군 둔내면사무소,,033-340-2704,,,강원도 횡성군 둔내면 둔내로51번길 17,강원도 횡성군 둔내면 자포곡리 402,37.51241014,128.2185782,2019-12-18,4260000,강원도 횡성군
횡성더덕축제,청일면 유동3리 농거리야영장,2019-08-30,2019-09-01,"더덕요리경연대회, 더덕캐기체험, 더덕품평회 등",횡성더덕축제위원회,강원도 횡성군 청일면사무소,,033-340-2706,,,강원도 횡성군 청일면 유동로 17,강원도 횡성군 청일면 유동리 850-2,37.58392059,128.1502908,2019-12-18,4260000,강원도 횡성군
안흥찐빵축제,주천강 실미교 아래 둔치,2019-09-27,2019-09-29,"안흥찐빵 시식 및 홍보, 농경문화 체험, 먹거리장터운영 등",안흥찐빵축제위원회,강원도 횡성군 안흥면사무소,,033-340-2703,,,강원도 횡성군 안흥면 안흥로 27,강원도 횡성군 안흥면 안흥리 284-11,37.41281125,128.1561222,2019-12-18,4260000,강원도 횡성군
횡성한우축제,횡서읍 섬강둔치 일원,2019-10-02,2019-10-06,"한우구이터, 발골이벤트, 한우퍼레이드, 스템프투어 등",횡성문화재단,강원도 횡성군청,,033-340-5712,http://www.hscf.or.kr,,강원도 횡성군 횡성읍 문예로 75,강원도 횡성군 횡성읍 읍하리 260,37.48821277,127.9736494,2019-12-18,4260000,강원도 횡성군
정월대보름 행사,안양천변 축구장(신정교아래),2019-02-16,2019-02-16,"정월대보름 행사 (풍물놀이, 민속놀이체험, 달집태우기, 불꽃놀이, 먹걸이장터등)",서울특별시 양천문화원,서울특별시 양천구청,,02-2651-5300,http://www.yangcheon.go.kr,,,서울특별시 양천구 신정동 1319-2,37.516601,126.863871,2019-11-13,3140000,서울특별시 양천구
방아다리벗꽃축제,신월5동,2019-04-06,2019-04-06,벗꽃 풍경이 멋진 방아다리길에서 마을주민축제개최,벗꽃축제추진위,신월5동,,02-2620-4130,http://www.yangcheon.go.kr,,,서울특별시 양천구 신정동 1319-3,37.51356942,126.8333708,2019-11-13,3140000,서울특별시 양천구
2019해우리문화축제,양천공원,2019-09-28,2019-09-28,"반려예술,반려식물존 구성으로 반려문화 한마당 개최",코피플랜,서울특별시 양천구청,,02-2620-3404,http://www.yangcheon.go.kr,,,서울특별시 양천구 신정동 1319-4,39.516601,128.863871,2019-11-13,3140000,서울특별시 양천구
천을산 해맞이,천을산 정상,2019-01-01,2019-01-01,"새해메세지, 소원풍선날리기, 해오름 함성 등",(재)수성문화재단,대구광역시 수성구,,053-666-2162,http://suseong.kr,"대구스타디움, 대구미술관",,대구광역시 수성구 가천동 산11-3,35.849688,128.695676,2019-09-11,3460000,대구광역시 수성구
달집태우기,패밀리 파크 금호강 둔치,2019-02-19,2019-02-19,"달집태우기, 전통민속놀이 등",고산농악보존회,고산농악보존회,,053-666-2172,http://suseong.kr,"팔현생태공원, 금호강 자전거길",대구광역시 수성구 팔현길 88-46,대구광역시 수성구 고모동 20-1,35.8712637,128.6730181,2019-09-11,3460000,대구광역시 수성구
상화문학제,수성못 상화동산,2019-05-24,2019-05-26,"상화백일장, 상화문학의밤 등",수성문화원,수성문화원,대구광역시 수성구,053-768-0002,http://www.suseong.or.kr,"수성못 상화시비, 수성랜드, 수성아트피아, 들안길먹거리타운",대구광역시 수성구 용학로 35-5(상동),대구광역시 수성구 상동 723,35.8268576,128.6128683,2019-09-11,3460000,대구광역시 수성구
고모령 효예술제,수성못 상화동산,2019-08-02,2019-08-02,"고모령 가요제, 문예작품 공모, 문화탕방 등",수성문화원,수성문화원,대구광역시 수성구,053-768-0002,http://www.suseong.or.kr,"대구스타디움, 대구미술관",대구광역시 수성구 유니버시아드로 140(대흥동),대구광역시 수성구 대흥동 504,35.83165878,128.687326,2019-09-11,3460000,대구광역시 수성구
수성못 페스티벌,"수성못,들안길,수성아트피아",2019-09-27,2019-09-29,"수성못 주제 프로그램, 들안길 푸드 페스티벌 등",(재)수성문화재단,(재)수성문화재단,대구광역시 수성구,053-666-2163,http://www.ssfestival.net/,"들안길먹거리타운, 수성아트피아, 수성랜드, 카페촌",대구광역시 수성구 무학로112(두산동),대구광역시 수성구 두산동 499-4,35.8292435,128.6209285,2019-09-11,3460000,대구광역시 수성구
수성 건강 축제,대구스타디움 서편광장,2019-08-02,2019-08-03,테마별 건강체험관 운영,수성구 보건소,수성구 보건소,,053-666-3124,http://suseong.kr,대구스타디움,대구광역시 수성구 유니버시아드로 140(대흥동),대구광역시 수성구 대흥동 504,35.83165878,128.687326,2019-09-11,3460000,대구광역시 수성구
와룡문화제,사천시청 노을광장 일원,2019-04-26,2019-04-28,“사주천년”이라는 역사적 자긍심과 지역의 정통성을 상징하는“용(龍)과 왕(王) (고려현종)”이라는 주제로 지역의 정체성과 공동체 의식을 표현한 축제,(재)사천문화재단,사천시,"농협 사천시지부, 한국남동발전, 한국항공우주산업주식회사, BAT 코리아, 한전ICPS주식회사, design made",055-835-6492,www.sccf.or.kr,"주민복지박람회, 구암제 동시 개최",경상남도 사천시 용현면 시청로 77,경상남도 사천시 용현면 덕곡리 501,35.00361954,128.0642075,2019-12-03,5340000,경상남도 사천시
제12회 사천시농업한마당축제,사천시청 노을광장 일원,2019-10-18,2019-10-20,"개막행사, 전시행사, 시음시식행사, 체험행사, 부대행사, 축하공연",사천시농업한마당축제 추진위원회,사천시농업한마당축제 추진위원회,,055-831-3761,,사천바다케이블카,경상남도 사천시 용현면 시청로 77,경상남도 사천시 용현면 덕곡리 501,35.00361954,128.0642075,2019-12-03,5340000,경상남도 사천시
김수환추기경 사랑과 나눔 문화축전,삼국유사교육문화회관,2019-06-15,2019-06-15,김수환추기경 뮤지컬공연,매일신문사,매일신문사,"경상북도, 군위군",054-380-6065,,김수환추기경 사랑과 나눔공원,경상북도 군위군 군위읍 군청로 200,경상북도 군위군 군위읍 동부리 229,36.24300229,128.5728833,2019-09-05,5140000,경상북도 군위군
조선통신사 축제,용두산공원 및 광복로 일원,2019-05-03,2019-05-06,"광장행사, 조선통신사 평화의 행렬, 조선통신사의 밤, 한일거리예술공연 등",(재)부산문화재단,부산광역시,부산광역시 중구청,051-600-4085,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000203003000000,,부산광역시 중구 광복중앙로 3,부산광역시 중구 창선동1가 1-1,35.09953937,129.0311369,2019-09-10,3250000,부산광역시 중구
광복로연등문화제,광복로 및 광복중앙로 일원,2019-04-26,2019-05-15,장엄등 및 거리등 전시,부산중구불교연합회,부산중구불교연합회,중구청,051-253-8686,,,부산광역시 중구 광복로77번길 5,부산광역시 중구 광복동 2가 1-11,35.09895705,129.0334032,2019-09-10,3250000,부산광역시 중구
보수동책방골목문화축제,보수동책방골목 및 문화관,2019-10-01,2019-10-31,책읽는마을 심포지엄/공연행사/체험 등,보수동 책방골목 번영회,보수동 책방골목 번영회,중구청,051-253-7220,http://www.bosubook.com/,,부산광역시 중구 흑교로46번길 11,부산광역시 중구 보수동1가 119-6,35.10362715,129.0261809,2019-09-10,3250000,부산광역시 중구
부산국제영화제 전야제,BIFF광장 및 광복로 등,2019-10-02,2019-10-02,핸드프린팅 개봉/축하공연,(사) 부산국제영화제,(사) 부산국제영화제,중구청,051-709-2091,http://www.biff.kr,,부산광역시 중구 비프광장로 36,부산광역시 중구 남포동5가 18-1,35.09862035,129.0287588,2019-09-10,3250000,부산광역시 중구
부산자갈치축제,자갈치시장 및 유라리광장 일원,2019-10-10,2019-10-13,"개막식, 길놀이, 체험프로그램등",(사)부산자갈치문화관광축제위원회,(사)부산자갈치문화관광축제위원회,"부산광역시, 부산광역시 중구, 부산시설관리공단",051-243-9363,http://www.ejagalchi.com/,,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,35.0966394,129.0305933,2019-09-10,3250000,부산광역시 중구
영도다리 만남의 축제,유라리광장,2019-11-01,2019-11-30,"축하공연, 소방정분수쇼 등 시민과 관객을 위한 문화행사",부산중구청,부산중구청,,051-600-4066,,,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동7가 20-1,35.0984232,129.0368573,2019-09-10,3250000,부산광역시 중구
부산크리스마스트리문화축제,광복로 및 중구 관내 일원,2019-11-16,2020-01-05,일루미네이션 크리스마스트리장식/성탄음악행사/시민참여행사/점등식 등,(사) 부산기독교총연합회,(사) 부산기독교총연합회,부산광역시청부산광역시중구등,051-464-0112,http://www.bctf.kr,,부산광역시 중구 광복중앙로 2,부산광역시 중구 광복동2가 6-5,35.0995432,129.0315084,2019-09-10,3250000,부산광역시 중구
세계 민속춤 축제,왕십리 광장,2018-09-11,2018-09-12,세계 각국의 신명나는 민속춤 공연을 통해 구민들에게 힐링의 시간을 제공,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 행당동,서울특별시 성동구 행당동,37.561842,127.036664,2019-06-03,3030000,서울특별시 성동구
태조 이성계 축제,"살곶이체육공원, 살곶이다리",2018-10-19,2018-10-20,역사적 인물 ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''이성계''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''와 ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''사냥''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''의 전통성을 살린 사냥행차 거리 퍼레이드로 진행되는 지역축제,성동문화재단,서울특별시 성동구청,서울특별시,02-2286-5203,www.sd.go.kr,,"서울특별시 성동구 사근동 104 살곶이체육공원, 살곶이다리","서울특별시 성동구 사근동 104 살곶이체육공원, 살곶이다리",37.554368,127.049411,2019-06-03,3030000,서울특별시 성동구
응봉산 해맞이축제,서울특별시 성동구 응봉동 응봉산,2019-01-01,2019-01-01,"신년 북 다고, 새해 덕담, 해돋이 감상",서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 응봉동 응봉산,서울특별시 성동구 응봉동 응봉산,37.548551,127.030821,2019-06-03,3030000,서울특별시 성동구
응봉산 개나리축체,서울특별시 성동구 응봉동 응봉산,2019-03-29,2019-03-31,구민이 주체가 되어 자발적으로 참여하는 성동구민을 위한 축제,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,www.sd.go.kr,,서울특별시 성동구 응봉동 응봉산,서울특별시 성동구 응봉동 응봉산,37.548551,127.030821,2019-06-03,3030000,서울특별시 성동구
봉화은어축제,봉화읍 내성천 일원,2019-07-27,2019-08-04,은어잡이체험,(사)봉화군축제위원회,경상북도 봉화군,경상북도 봉화군,054-679-6342,http://www.bonghwafestival.com/eunuh,"분천산타마을,목재문화체험장",,경상북도 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2019-10-10,5240000,경상북도 봉화군
봉화송이축제,봉화읍 내성천 일원,2019-09-27,2019-09-30,송이채취체험,(사)봉화군축제위원회,경상북도 봉화군,경상북도 봉화군,054-679-6343,http://www.bonghwafestival.com/songi,"분천산타마을,목재문화체험장",,경상북도 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2019-10-10,5240000,경상북도 봉화군
2019 오륙도 평화축제,평화공원(대연동),2019-10-19,2019-10-20,"무대공연, 부대행사, 오륙도 평화가족가요제",부산광역시 남구,부산광역시 남구,,,,,부산광역시 남구 대연동 707번지,,35.12625953,129.1003507,2019-08-27,3310000,부산광역시 남구
담양대나무축제,죽녹원 및 관방제림 일원,2019-05-01,2019-05-06,"대나무 관련 전시, 체험, 공연, 판매 등",(사)담양대나무축제위원회,담양군,"문화체육관광부, 전라남도, 한국관광공사",061-380-3152,www.bamboofestival.co.kr,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.32121077,126.9881755,2019-09-17,4850000,전라남도 담양군
담양산타축제,담양 원도심 및 메타프로방스 일원,2019-12-13,2019-12-31,"크리스마스거리조성, 크리스마스마켓 운영 등",담양산타축제추진위원회,담양군,,061-380-3152,,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.32121077,126.9881755,2019-09-17,4850000,전라남도 담양군
추월산벚꽃축제,용면 추월산광장 일원,2020-04-07,2010-04-08,"벚꽃노래자랑, 특산품판매 등",용면청년회,담양군,,061-380-3152,,,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,35.36449265,126.9872053,2019-09-17,4850000,전라남도 담양군
창평전통음식문화축제,창평슬로시티 일원,2020-10-26,2020-10-28,"슬로푸드전시, 체험, 판매 등",창평면주민자치위원회,담양군,,061-380-3152,,,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.0178938,2019-09-17,4850000,전라남도 담양군
